Argentina;;;Bolivia;;;Brazil;;;Canada;;;Chile;;;Colombia;;;Dominican Republic;;;Guatemala;;;Mexico;;;Panama;;;Peru;;;El Salvador;;;US;;
Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper;Rt;Lower;Upper
0,993131271;0,90781039;1,082229305;2,385392442;2,158976016;2,622936607;1,320882067;1,291163278;1,350934294;5,014159036;4,189316711;5,912025079;1,129069344;1,082080533;1,177042838;1,205547462;1,12827356;1,285344561;1,391975647;1,313014837;1,473209442;1,285957884;1,092079317;1,495444607;1,484156874;1,419881252;1,549835363;1,285957884;1,092079317;1,495444607;1,537626704;1,505586661;1,569999401;2,018547162;1,74379962;2,313099463;6,918454687;6,470837168;7,380829646
0,898122448;0,817913231;0,982029606;1,866788184;1,676579055;2,067070085;1,195689042;1,168610596;1,223073317;3,991669228;3,314840039;4,73044082;1,156238546;1,10879496;1,204662088;1,215360407;1,137960519;1,295270746;1,340674245;1,264912613;1,418608238;0,956185706;0,797128941;1,129496644;1,424011724;1,363451342;1,485869567;0,956185706;0,797128941;1,129496644;1,596637975;1,56451214;1,629085771;2,013272659;1,750167707;2,294532117;6,992802059;6,606646801;7,389770157
0,910439587;0,830312199;0,994204928;1,439029575;1,281794979;1,605229028;1,304087873;1,276800765;1,331659483;4,709503674;4,035722061;5,434535554;1,03742073;0,992734209;1,083077203;1,360458418;1,279251535;1,444128922;1,538819241;1,459117938;1,620610037;1,015512592;0,856951515;1,187333911;1,419568821;1,361060442;1,4792912;1,015512592;0,856951515;1,187333911;1,719018545;1,686367907;1,751977898;2,183836331;1,921496402;2,462718911;7,250106374;6,91021223;7,598045826
1,010615083;0,926396012;1,098445766;1,270666792;1,131382665;1,417919322;1,381485248;1,354126851;1,409113459;6,674967339;5,950245662;7,440732766;1,031470016;0,987244448;1,076651012;1,426263417;1,344163102;1,510763026;1,434175043;1,358709875;1,511651033;1,0630207;0,904210344;1,23449001;1,50339679;1,444850545;1,563089497;1,0630207;0,904210344;1,23449001;1,684935681;1,653462458;1,716701511;2,002484871;1,763314967;2,256643863;7,353888355;7,059662371;7,654036996
1,139561153;1,049897692;1,232846118;1,066807021;0,945498522;1,195331018;1,579072621;1,550359958;1,608045074;6,186289567;5,565355956;6,83958891;1,033744167;0,989822863;1,078605539;1,46299145;1,381107656;1,547200065;1,312233851;1,241593661;1,384800888;0,962221459;0,812962922;1,123873519;1,646509893;1,586744708;1,707364465;0,962221459;0,812962922;1,123873519;1,471138036;1,442666801;1,499883613;1,64160518;1,436289333;1,860437238;5,127189097;4,917869796;5,340809619
1,283370445;1,187740017;1,382650773;1,621755153;1,476456537;1,773775031;1,746884535;1,717175821;1,776844511;6,09252165;5,551277633;6,658581395;1,087215341;1,042445094;1,132913687;1,437834635;1,358177945;1,519729236;1,138246054;1,07408572;1,204241327;0,950254017;0,802369515;1,110461691;1,601244563;1,543745836;1,659779918;0,950254017;0,802369515;1,110461691;1,544195203;1,516049728;1,57259595;1,946000337;1,733031555;2,171132301;5,333371385;5,151624511;5,518224906
1,4493469;1,347395921;1,554963089;1,8399658;1,688303388;1,998058093;1,706751731;1,677967186;1,735777677;5,881894011;5,421731403;6,360532203;1,142691338;1,096972737;1,189330236;1,553846304;1,47282034;1,6370113;1,114582491;1,052633062;1,178278186;1,075086938;0,917302728;1,245208444;1,661182407;1,604163826;1,719182804;1,075086938;0,917302728;1,245208444;1,60499657;1,577306579;1,632924161;1,89741752;1,697015256;2,108842777;5,534368743;5,375252041;5,695773946
1,438036272;1,336880913;1,542828239;1,878795049;1,72796164;2,035849725;1,479160928;1,453094573;1,505455792;4,9975304;4,632067841;5,376671958;1,206837359;1,159989075;1,254600065;1,431453878;1,355631916;1,509309948;0,945722689;0,889898755;1,003220799;1,014458564;0,8610407;1,180268694;1,788478517;1,731078749;1,846801408;1,014458564;0,8610407;1,180268694;1,737731877;1,709845116;1,765841085;1,618421723;1,441585965;1,805339914;6,198516606;6,051603476;6,347167196
1,340608665;1,24419797;1,440565823;1,995229146;1,843157083;2,153243264;1,424519877;1,399807594;1,449445393;4,654339746;4,348951071;4,969943958;1,20540406;1,158777323;1,252937603;1,391009223;1,31823927;1,465706651;0,825867582;0,774523615;0,878835983;0,953028663;0,804223762;1,114277911;1,884835118;1,827832582;1,942700693;0,953028663;0,804223762;1,114277911;1,719119806;1,692233703;1,746214875;1,4449308;1,284994609;1,614111839;7,944875003;7,798953257;8,092130489
1,245272777;1,154272164;1,339676972;1,926037579;1,781665883;2,075953509;1,263726159;1,241286187;1,286364365;4,064837436;3,815790156;4,321646297;1,205959363;1,159637871;1,253175292;1,569815452;1,494546089;1,646907977;0,920773882;0,866964644;0,976180293;1,302679269;1,127540482;1,490276518;1,953540478;1,897562636;2,010320694;1,302679269;1,127540482;1,490276518;1,725191099;1,699115922;1,751462084;1,477347826;1,322005796;1,641194221;8,818691277;8,684688518;8,953705737
